Date,Day_of_Week,LineName,Route_Type,VehicleJourneyCode,Origin,Destination,Scheduled_Departure,Hour_of_Day,Actual_Delay_Minutes
2025-01-02,Thursday,86,Student Link,VJ_L86_1_002,Station 86_A,Terminal 86_B,10:20:00,10,1
2025-01-02,Thursday,86,Student Link,VJ_L86_2_002,Station 86_A,Terminal 86_B,10:50:00,10,3
2025-01-02,Thursday,86,Student Link,VJ_L86_3_002,Station 86_A,Terminal 86_B,11:20:00,11,3
2025-01-02,Thursday,86,Student Link,VJ_L86_4_002,Station 86_A,Terminal 86_B,11:50:00,11,2
2025-01-02,Thursday,86,Student Link,VJ_L86_5_002,Station 86_A,Terminal 86_B,12:20:00,12,3
2025-01-02,Thursday,86,Student Link,VJ_L86_6_002,Station 86_A,Terminal 86_B,12:50:00,12,3
2025-01-02,Thursday,86,Student Link,VJ_L86_7_002,Station 86_A,Terminal 86_B,13:20:00,13,2
2025-01-02,Thursday,86,Student Link,VJ_L86_8_002,Station 86_A,Terminal 86_B,13:50:00,13,2
2025-01-02,Thursday,86,Student Link,VJ_L86_9_002,Station 86_A,Terminal 86_B,14:20:00,14,3
2025-01-02,Thursday,86,Student Link,VJ_L86_10_002,Station 86_A,Terminal 86_B,14:50:00,14,3
2025-01-02,Thursday,86,Student Link,VJ_L86_11_002,Station 86_A,Terminal 86_B,15:20:00,15,0
2025-01-03,Friday,25,City Tour,VJ_L25_0_003,Gower Street / Salthouse Quay,Albert Dock / Strand Street,09:50:00,9,8
2025-01-03,Friday,25,City Tour,VJ_L25_1_003,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:20:00,10,1
2025-01-03,Friday,25,City Tour,VJ_L25_2_003,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:50:00,10,0
2025-01-03,Friday,25,City Tour,VJ_L25_3_003,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:20:00,11,1
2025-01-03,Friday,25,City Tour,VJ_L25_4_003,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:50:00,11,2
2025-01-03,Friday,25,City Tour,VJ_L25_5_003,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:20:00,12,3
2025-01-03,Friday,25,City Tour,VJ_L25_6_003,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:50:00,12,2
2025-01-03,Friday,25,City Tour,VJ_L25_7_003,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:20:00,13,3
2025-01-03,Friday,25,City Tour,VJ_L25_8_003,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:50:00,13,1
2025-01-03,Friday,25,City Tour,VJ_L25_9_003,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:20:00,14,1
2025-01-03,Friday,25,City Tour,VJ_L25_10_003,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:50:00,14,1
2025-01-03,Friday,25,City Tour,VJ_L25_11_003,Gower Street / Salthouse Quay,Albert Dock / Strand Street,15:20:00,15,1
2025-01-03,Friday,10,Commuter Express,VJ_L10_0_003,Station 10_A,Terminal 10_B,09:50:00,9,10
2025-01-03,Friday,10,Commuter Express,VJ_L10_1_003,Station 10_A,Terminal 10_B,10:20:00,10,2
2025-01-03,Friday,10,Commuter Express,VJ_L10_2_003,Station 10_A,Terminal 10_B,10:50:00,10,0
2025-01-03,Friday,10,Commuter Express,VJ_L10_3_003,Station 10_A,Terminal 10_B,11:20:00,11,28
2025-01-03,Friday,10,Commuter Express,VJ_L10_4_003,Station 10_A,Terminal 10_B,11:50:00,11,0
2025-01-03,Friday,10,Commuter Express,VJ_L10_5_003,Station 10_A,Terminal 10_B,12:20:00,12,3
2025-01-03,Friday,10,Commuter Express,VJ_L10_6_003,Station 10_A,Terminal 10_B,12:50:00,12,1
2025-01-03,Friday,10,Commuter Express,VJ_L10_7_003,Station 10_A,Terminal 10_B,13:20:00,13,0
2025-01-03,Friday,10,Commuter Express,VJ_L10_8_003,Station 10_A,Terminal 10_B,13:50:00,13,3
2025-01-03,Friday,10,Commuter Express,VJ_L10_9_003,Station 10_A,Terminal 10_B,14:20:00,14,0
2025-01-03,Friday,10,Commuter Express,VJ_L10_10_003,Station 10_A,Terminal 10_B,14:50:00,14,1
2025-01-03,Friday,10,Commuter Express,VJ_L10_11_003,Station 10_A,Terminal 10_B,15:20:00,15,0
2025-01-03,Friday,86,Student Link,VJ_L86_0_003,Station 86_A,Terminal 86_B,09:50:00,9,13
2025-01-03,Friday,86,Student Link,VJ_L86_1_003,Station 86_A,Terminal 86_B,10:20:00,10,0
2025-01-03,Friday,86,Student Link,VJ_L86_2_003,Station 86_A,Terminal 86_B,10:50:00,10,3
2025-01-03,Friday,86,Student Link,VJ_L86_3_003,Station 86_A,Terminal 86_B,11:20:00,11,0
2025-01-03,Friday,86,Student Link,VJ_L86_4_003,Station 86_A,Terminal 86_B,11:50:00,11,3
2025-01-03,Friday,86,Student Link,VJ_L86_5_003,Station 86_A,Terminal 86_B,12:20:00,12,0
2025-01-03,Friday,86,Student Link,VJ_L86_6_003,Station 86_A,Terminal 86_B,12:50:00,12,1
2025-01-03,Friday,86,Student Link,VJ_L86_7_003,Station 86_A,Terminal 86_B,13:20:00,13,1
2025-01-03,Friday,86,Student Link,VJ_L86_8_003,Station 86_A,Terminal 86_B,13:50:00,13,2
2025-01-03,Friday,86,Student Link,VJ_L86_9_003,Station 86_A,Terminal 86_B,14:20:00,14,0
2025-01-03,Friday,86,Student Link,VJ_L86_10_003,Station 86_A,Terminal 86_B,14:50:00,14,2
2025-01-03,Friday,86,Student Link,VJ_L86_11_003,Station 86_A,Terminal 86_B,15:20:00,15,2
2025-01-04,Saturday,25,City Tour,VJ_L25_12_004,Gower Street / Salthouse Quay,Albert Dock / Strand Street,09:50:00,9,14
2025-01-04,Saturday,25,City Tour,VJ_L25_13_004,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:20:00,10,0
2025-01-04,Saturday,25,City Tour,VJ_L25_14_004,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:50:00,10,2
2025-01-04,Saturday,25,City Tour,VJ_L25_15_004,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:20:00,11,0
2025-01-04,Saturday,25,City Tour,VJ_L25_16_004,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:50:00,11,2
2025-01-04,Saturday,25,City Tour,VJ_L25_17_004,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:20:00,12,0
2025-01-04,Saturday,25,City Tour,VJ_L25_18_004,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:50:00,12,1
2025-01-04,Saturday,25,City Tour,VJ_L25_19_004,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:20:00,13,3
2025-01-04,Saturday,25,City Tour,VJ_L25_20_004,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:50:00,13,1
2025-01-04,Saturday,25,City Tour,VJ_L25_21_004,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:20:00,14,0
2025-01-04,Saturday,25,City Tour,VJ_L25_22_004,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:50:00,14,3
2025-01-04,Saturday,25,City Tour,VJ_L25_23_004,Gower Street / Salthouse Quay,Albert Dock / Strand Street,15:20:00,15,2
2025-01-04,Saturday,10,Commuter Express,VJ_L10_12_004,Station 10_A,Terminal 10_B,09:50:00,9,23
2025-01-04,Saturday,10,Commuter Express,VJ_L10_13_004,Station 10_A,Terminal 10_B,10:20:00,10,1
2025-01-04,Saturday,10,Commuter Express,VJ_L10_14_004,Station 10_A,Terminal 10_B,10:50:00,10,3
2025-01-04,Saturday,10,Commuter Express,VJ_L10_15_004,Station 10_A,Terminal 10_B,11:20:00,11,2
2025-01-04,Saturday,10,Commuter Express,VJ_L10_16_004,Station 10_A,Terminal 10_B,11:50:00,11,1
2025-01-04,Saturday,10,Commuter Express,VJ_L10_17_004,Station 10_A,Terminal 10_B,12:20:00,12,2
2025-01-04,Saturday,10,Commuter Express,VJ_L10_18_004,Station 10_A,Terminal 10_B,12:50:00,12,1
2025-01-04,Saturday,10,Commuter Express,VJ_L10_19_004,Station 10_A,Terminal 10_B,13:20:00,13,0
2025-01-04,Saturday,10,Commuter Express,VJ_L10_20_004,Station 10_A,Terminal 10_B,13:50:00,13,3
2025-01-04,Saturday,10,Commuter Express,VJ_L10_21_004,Station 10_A,Terminal 10_B,14:20:00,14,20
2025-01-04,Saturday,10,Commuter Express,VJ_L10_22_004,Station 10_A,Terminal 10_B,14:50:00,14,1
2025-01-04,Saturday,10,Commuter Express,VJ_L10_23_004,Station 10_A,Terminal 10_B,15:20:00,15,2
2025-01-04,Saturday,86,Student Link,VJ_L86_12_004,Station 86_A,Terminal 86_B,09:50:00,9,21
2025-01-04,Saturday,86,Student Link,VJ_L86_13_004,Station 86_A,Terminal 86_B,10:20:00,10,3
2025-01-04,Saturday,86,Student Link,VJ_L86_14_004,Station 86_A,Terminal 86_B,10:50:00,10,1
2025-01-04,Saturday,86,Student Link,VJ_L86_15_004,Station 86_A,Terminal 86_B,11:20:00,11,1
2025-01-04,Saturday,86,Student Link,VJ_L86_16_004,Station 86_A,Terminal 86_B,11:50:00,11,3
2025-01-04,Saturday,86,Student Link,VJ_L86_17_004,Station 86_A,Terminal 86_B,12:20:00,12,1
2025-01-04,Saturday,86,Student Link,VJ_L86_18_004,Station 86_A,Terminal 86_B,12:50:00,12,0
2025-01-04,Saturday,86,Student Link,VJ_L86_19_004,Station 86_A,Terminal 86_B,13:20:00,13,2
2025-01-04,Saturday,86,Student Link,VJ_L86_20_004,Station 86_A,Terminal 86_B,13:50:00,13,2
2025-01-04,Saturday,86,Student Link,VJ_L86_21_004,Station 86_A,Terminal 86_B,14:20:00,14,3
2025-01-04,Saturday,86,Student Link,VJ_L86_22_004,Station 86_A,Terminal 86_B,14:50:00,14,1
2025-01-04,Saturday,86,Student Link,VJ_L86_23_004,Station 86_A,Terminal 86_B,15:20:00,15,1
2025-01-05,Sunday,25,City Tour,VJ_L25_24_005,Gower Street / Salthouse Quay,Albert Dock / Strand Street,09:50:00,9,10
2025-01-05,Sunday,25,City Tour,VJ_L25_25_005,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:20:00,10,22
2025-01-05,Sunday,25,City Tour,VJ_L25_26_005,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:50:00,10,0
2025-01-05,Sunday,25,City Tour,VJ_L25_27_005,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:20:00,11,3
2025-01-05,Sunday,25,City Tour,VJ_L25_28_005,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:50:00,11,3
2025-01-05,Sunday,25,City Tour,VJ_L25_29_005,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:20:00,12,3
2025-01-05,Sunday,25,City Tour,VJ_L25_30_005,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:50:00,12,1
2025-01-05,Sunday,25,City Tour,VJ_L25_31_005,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:20:00,13,0
2025-01-05,Sunday,25,City Tour,VJ_L25_32_005,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:50:00,13,1
2025-01-05,Sunday,25,City Tour,VJ_L25_33_005,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:20:00,14,1
2025-01-05,Sunday,25,City Tour,VJ_L25_34_005,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:50:00,14,2
2025-01-05,Sunday,25,City Tour,VJ_L25_35_005,Gower Street / Salthouse Quay,Albert Dock / Strand Street,15:20:00,15,1
2025-01-05,Sunday,10,Commuter Express,VJ_L10_24_005,Station 10_A,Terminal 10_B,09:50:00,9,13
2025-01-05,Sunday,10,Commuter Express,VJ_L10_25_005,Station 10_A,Terminal 10_B,10:20:00,10,2
2025-01-05,Sunday,10,Commuter Express,VJ_L10_26_005,Station 10_A,Terminal 10_B,10:50:00,10,2
2025-01-05,Sunday,10,Commuter Express,VJ_L10_27_005,Station 10_A,Terminal 10_B,11:20:00,11,26
2025-01-05,Sunday,10,Commuter Express,VJ_L10_28_005,Station 10_A,Terminal 10_B,11:50:00,11,3
2025-01-05,Sunday,10,Commuter Express,VJ_L10_29_005,Station 10_A,Terminal 10_B,12:20:00,12,3
2025-01-05,Sunday,10,Commuter Express,VJ_L10_30_005,Station 10_A,Terminal 10_B,12:50:00,12,2
2025-01-05,Sunday,10,Commuter Express,VJ_L10_31_005,Station 10_A,Terminal 10_B,13:20:00,13,1
2025-01-05,Sunday,10,Commuter Express,VJ_L10_32_005,Station 10_A,Terminal 10_B,13:50:00,13,0
2025-01-05,Sunday,10,Commuter Express,VJ_L10_33_005,Station 10_A,Terminal 10_B,14:20:00,14,2
2025-01-05,Sunday,10,Commuter Express,VJ_L10_34_005,Station 10_A,Terminal 10_B,14:50:00,14,3
2025-01-05,Sunday,10,Commuter Express,VJ_L10_35_005,Station 10_A,Terminal 10_B,15:20:00,15,22
2025-01-05,Sunday,86,Student Link,VJ_L86_24_005,Station 86_A,Terminal 86_B,09:50:00,9,37
2025-01-05,Sunday,86,Student Link,VJ_L86_25_005,Station 86_A,Terminal 86_B,10:20:00,10,0
2025-01-05,Sunday,86,Student Link,VJ_L86_26_005,Station 86_A,Terminal 86_B,10:50:00,10,0
2025-01-05,Sunday,86,Student Link,VJ_L86_27_005,Station 86_A,Terminal 86_B,11:20:00,11,2
2025-01-05,Sunday,86,Student Link,VJ_L86_28_005,Station 86_A,Terminal 86_B,11:50:00,11,1
2025-01-05,Sunday,86,Student Link,VJ_L86_29_005,Station 86_A,Terminal 86_B,12:20:00,12,3
2025-01-05,Sunday,86,Student Link,VJ_L86_30_005,Station 86_A,Terminal 86_B,12:50:00,12,3
2025-01-05,Sunday,86,Student Link,VJ_L86_31_005,Station 86_A,Terminal 86_B,13:20:00,13,3
2025-01-05,Sunday,86,Student Link,VJ_L86_32_005,Station 86_A,Terminal 86_B,13:50:00,13,0
2025-01-05,Sunday,86,Student Link,VJ_L86_33_005,Station 86_A,Terminal 86_B,14:20:00,14,1
2025-01-05,Sunday,86,Student Link,VJ_L86_34_005,Station 86_A,Terminal 86_B,14:50:00,14,45
2025-01-05,Sunday,86,Student Link,VJ_L86_35_005,Station 86_A,Terminal 86_B,15:20:00,15,2
2025-01-06,Monday,25,City Tour,VJ_L25_0_006,Gower Street / Salthouse Quay,Albert Dock / Strand Street,09:50:00,9,14
2025-01-06,Monday,25,City Tour,VJ_L25_1_006,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:20:00,10,3
2025-01-06,Monday,25,City Tour,VJ_L25_2_006,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:50:00,10,0
2025-01-06,Monday,25,City Tour,VJ_L25_3_006,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:20:00,11,1
2025-01-06,Monday,25,City Tour,VJ_L25_4_006,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:50:00,11,1
2025-01-06,Monday,25,City Tour,VJ_L25_5_006,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:20:00,12,0
2025-01-06,Monday,25,City Tour,VJ_L25_6_006,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:50:00,12,1
2025-01-06,Monday,25,City Tour,VJ_L25_7_006,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:20:00,13,0
2025-01-06,Monday,25,City Tour,VJ_L25_8_006,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:50:00,13,3
2025-01-06,Monday,25,City Tour,VJ_L25_9_006,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:20:00,14,3
2025-01-06,Monday,25,City Tour,VJ_L25_10_006,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:50:00,14,1
2025-01-06,Monday,25,City Tour,VJ_L25_11_006,Gower Street / Salthouse Quay,Albert Dock / Strand Street,15:20:00,15,0
2025-01-06,Monday,10,Commuter Express,VJ_L10_0_006,Station 10_A,Terminal 10_B,09:50:00,9,20
2025-01-06,Monday,10,Commuter Express,VJ_L10_1_006,Station 10_A,Terminal 10_B,10:20:00,10,0
2025-01-06,Monday,10,Commuter Express,VJ_L10_2_006,Station 10_A,Terminal 10_B,10:50:00,10,0
2025-01-06,Monday,10,Commuter Express,VJ_L10_3_006,Station 10_A,Terminal 10_B,11:20:00,11,2
2025-01-06,Monday,10,Commuter Express,VJ_L10_4_006,Station 10_A,Terminal 10_B,11:50:00,11,38
2025-01-06,Monday,10,Commuter Express,VJ_L10_5_006,Station 10_A,Terminal 10_B,12:20:00,12,3
2025-01-06,Monday,10,Commuter Express,VJ_L10_6_006,Station 10_A,Terminal 10_B,12:50:00,12,2
2025-01-06,Monday,10,Commuter Express,VJ_L10_7_006,Station 10_A,Terminal 10_B,13:20:00,13,1
2025-01-06,Monday,10,Commuter Express,VJ_L10_8_006,Station 10_A,Terminal 10_B,13:50:00,13,0
2025-01-06,Monday,10,Commuter Express,VJ_L10_9_006,Station 10_A,Terminal 10_B,14:20:00,14,1
2025-01-06,Monday,10,Commuter Express,VJ_L10_10_006,Station 10_A,Terminal 10_B,14:50:00,14,2
2025-01-06,Monday,10,Commuter Express,VJ_L10_11_006,Station 10_A,Terminal 10_B,15:20:00,15,2
2025-01-06,Monday,86,Student Link,VJ_L86_0_006,Station 86_A,Terminal 86_B,09:50:00,9,23
2025-01-06,Monday,86,Student Link,VJ_L86_1_006,Station 86_A,Terminal 86_B,10:20:00,10,0
2025-01-06,Monday,86,Student Link,VJ_L86_2_006,Station 86_A,Terminal 86_B,10:50:00,10,1
2025-01-06,Monday,86,Student Link,VJ_L86_3_006,Station 86_A,Terminal 86_B,11:20:00,11,1
2025-01-06,Monday,86,Student Link,VJ_L86_4_006,Station 86_A,Terminal 86_B,11:50:00,11,0
2025-01-06,Monday,86,Student Link,VJ_L86_5_006,Station 86_A,Terminal 86_B,12:20:00,12,0
2025-01-06,Monday,86,Student Link,VJ_L86_6_006,Station 86_A,Terminal 86_B,12:50:00,12,3
2025-01-06,Monday,86,Student Link,VJ_L86_7_006,Station 86_A,Terminal 86_B,13:20:00,13,0
2025-01-06,Monday,86,Student Link,VJ_L86_8_006,Station 86_A,Terminal 86_B,13:50:00,13,1
2025-01-06,Monday,86,Student Link,VJ_L86_9_006,Station 86_A,Terminal 86_B,14:20:00,14,3
2025-01-06,Monday,86,Student Link,VJ_L86_10_006,Station 86_A,Terminal 86_B,14:50:00,14,3
2025-01-06,Monday,86,Student Link,VJ_L86_11_006,Station 86_A,Terminal 86_B,15:20:00,15,1
2025-01-07,Tuesday,25,City Tour,VJ_L25_0_007,Gower Street / Salthouse Quay,Albert Dock / Strand Street,09:50:00,9,7
2025-01-07,Tuesday,25,City Tour,VJ_L25_1_007,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:20:00,10,1
2025-01-07,Tuesday,25,City Tour,VJ_L25_2_007,Gower Street / Salthouse Quay,Albert Dock / Strand Street,10:50:00,10,2
2025-01-07,Tuesday,25,City Tour,VJ_L25_3_007,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:20:00,11,1
2025-01-07,Tuesday,25,City Tour,VJ_L25_4_007,Gower Street / Salthouse Quay,Albert Dock / Strand Street,11:50:00,11,1
2025-01-07,Tuesday,25,City Tour,VJ_L25_5_007,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:20:00,12,0
2025-01-07,Tuesday,25,City Tour,VJ_L25_6_007,Gower Street / Salthouse Quay,Albert Dock / Strand Street,12:50:00,12,0
2025-01-07,Tuesday,25,City Tour,VJ_L25_7_007,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:20:00,13,3
2025-01-07,Tuesday,25,City Tour,VJ_L25_8_007,Gower Street / Salthouse Quay,Albert Dock / Strand Street,13:50:00,13,3
2025-01-07,Tuesday,25,City Tour,VJ_L25_9_007,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:20:00,14,1
2025-01-07,Tuesday,25,City Tour,VJ_L25_10_007,Gower Street / Salthouse Quay,Albert Dock / Strand Street,14:50:00,14,0
